author_id;name;first_name;last_name;middle_inits;birth_date;death_date
58;Leslie Plummer Clagett;Leslie;Clagett;Plummer;1957-12-21;
59;Gerard Gefen;Gerard;Gefen;;1970-11-23;2014-05-17
60;Christine Bastin;Christine;Bastin;;1971-12-27;
61;Jacques Evrard;Jacques;Evrard;;1954-10-18;2018-05-10
62;Donald Kaufman;Donald;Kaufman;;1940-08-20;2019-01-14
63;Taffy Dahl;Taffy;Dahl;;1975-02-03;2021-07-27
64;Laurel Graeber;Laurel;Graeber;;1949-11-26;
65;Tina Freeman;Tina;Freeman;;1954-08-04;2016-08-21
66;Simon Benninga;Simon;Benninga;;1937-01-17;2012-08-10
67;Benjamin Czaczkes;Benjamin;Czaczkes;;1945-08-20;2014-01-03
68;Mark Grinblatt;Mark;Grinblatt;;1957-10-09;
69;Sheridan Titman;Sheridan;Titman;;1938-05-13;2010-03-30
70;Robert C. Higgins;Robert;Higgins;C.;1937-07-07;2021-06-15
71;Paul Marcus Fischer;Paul;Fischer;Marcus;1948-01-19;
72;William James Taylor;William;Taylor;James;1930-01-05;
73;Rita Hartung Cheng;Rita;Cheng;Hartung;1966-07-05;
74;Donald E. Kieso;Donald;Kieso;E.;1961-12-15;2017-11-02
75;Jerry J. Weygandt;Jerry;Weygandt;J.;1935-11-26;
76;Terry D. Warfield;Terry;Warfield;D.;1950-03-06;2013-08-29
77;Lawrence Revsine;Lawrence;Revsine;;1935-09-02;2010-12-12
78;Daniel W. Collins;Daniel;Collins;W.;1969-11-01;2020-06-14
79;W. Bruce Johnson;W.;Johnson;Bruce;1949-11-10;2011-09-28
80;Nicholas Sparks;Nicholas;Sparks;;1944-01-12;2013-01-23
81;Don DeLillo;Don;DeLillo;;1959-02-16;
82;Stephen King;Stephen;King;;1964-09-15;2017-02-17
83;Mark Z. Danielewski;Mark;Danielewski;Z.;1944-10-11;
84;Michael Romkey;Michael;Romkey;;1977-03-16;2018-04-21
85;Chuck Palahniuk;Chuck;Palahniuk;;1946-04-07;2014-07-12
86;Matthew Delaney;Matthew;Delaney;;1961-04-11;
87;Bernie Wrightson;Bernie;Wrightson;;1969-08-08;2019-12-06
88;Jeffrey M. Wooldridge;Jeffrey;Wooldridge;M.;1944-06-07;2019-10-19
89;Steven J. Root;Steven;Root;J.;1932-09-23;2016-02-06
90;Ken Coffman;Ken;Coffman;;1957-07-01;2014-04-26
91;Gerald Carter;Gerald;Carter;;1968-01-24;
92;Scott Kelby;Scott;Kelby;;1979-09-02;
93;B. J. Fogg;B.;Fogg;J.;1946-06-21;2012-02-10
94;Michael Meyers;Michael;Meyers;;1951-01-24;
95;Carl Sagan;Carl;Sagan;;1977-03-21;
96;Alice Sebold;Alice;Sebold;;1950-01-28;2022-12-04
97;Ian McEwan;Ian;McEwan;;1969-02-14;2022-05-08
98;Nora Roberts;Nora;Roberts;;1931-06-02;2019-04-16
99;Andy Rae;Andy;Rae;;1938-08-30;
100;Joseph Truini;Joseph;Truini;;1970-02-28;
101;Terry Pratchett;Terry;Pratchett;;1938-07-14;
