order_id;sale_date;bill_no;customer_id
155;2011-11-05;73744;67
156;2012-03-08;93841;67
157;2015-10-24;54170;67
158;2012-11-17;92976;68
159;2015-09-01;10808;68
160;2020-05-29;86585;69
161;2018-04-05;55863;69
162;2018-04-20;52867;69
163;2011-03-09;51751;70
164;2021-06-06;43400;70
165;2010-06-07;72549;70
166;2010-12-14;75087;70
167;2018-07-14;26915;70
168;2017-09-10;80348;70
169;2020-12-14;42574;71
170;2019-05-31;91791;71
171;2012-03-23;18460;71
172;2012-06-09;65842;71
173;2022-05-25;49904;71
174;2017-09-23;39493;72
175;2017-07-09;83416;72
176;2018-09-23;17808;72
177;2013-12-25;21943;72
178;2021-07-04;99640;72
179;2016-09-06;85546;73
180;2021-09-16;15693;73
181;2015-10-30;85509;74
182;2012-04-16;31960;74
183;2017-06-16;12029;74
184;2017-03-16;40334;74
185;2020-07-03;57694;74
186;2012-12-18;36700;75
187;2017-03-03;64217;76
188;2013-02-18;62145;76
189;2014-03-17;46215;77
190;2014-05-20;49546;77
191;2010-06-30;47371;77
192;2011-04-29;50191;77
193;2011-02-27;85805;78
194;2021-01-03;78369;79
195;2018-04-07;56464;79
196;2012-02-17;24379;79
197;2020-09-06;31957;79
198;2018-02-10;27800;80
199;2017-04-21;48377;81
200;2019-08-29;78882;81
201;2022-08-30;81481;81
202;2020-03-19;54899;82
203;2016-05-01;67246;82
204;2012-05-30;50717;82
205;2021-05-26;27527;83
206;2013-10-30;24778;83
207;2016-07-17;49175;83
208;2016-07-10;55883;83
209;2010-03-11;83937;84
210;2019-12-27;55592;84
211;2010-12-31;49403;84
212;2012-09-04;73571;84
213;2010-01-23;22475;85
214;2012-01-02;32242;85
215;2012-10-22;23874;85
216;2010-08-12;85660;85
217;2013-12-20;37342;85
218;2022-09-22;45680;85
219;2021-12-16;99349;86
220;2014-12-07;84829;86
221;2011-06-13;33704;86
222;2017-04-10;55783;87
223;2013-04-11;49740;88
224;2010-03-20;19399;88
225;2010-12-22;54512;88
226;2018-03-31;88057;88
227;2010-10-20;11139;89
228;2022-08-28;26244;89
229;2017-03-15;29162;90
230;2018-09-25;82103;90
231;2012-04-16;28543;90
232;2011-05-15;54464;91
233;2020-10-12;50429;91
234;2019-12-11;13004;91
235;2020-01-05;43085;92
236;2011-08-06;41939;92
237;2016-03-20;71525;93
238;2020-03-29;62443;94
239;2017-12-26;52890;95
240;2012-05-10;85044;96
241;2010-03-08;31030;96
242;2011-08-16;48468;96
243;2021-01-23;15567;97
244;2018-02-18;67385;97
245;2022-09-30;59413;97
246;2015-10-29;89211;98
247;2022-12-27;97929;98
248;2019-08-30;61860;98
249;2016-10-10;10845;99
250;2013-10-16;31708;99
251;2020-10-20;93972;99
252;2016-04-11;49812;99
253;2015-05-15;97070;100
254;2010-04-18;76576;100
255;2018-10-19;76514;100
256;2013-03-07;27406;100
257;2016-11-14;79030;101
258;2013-07-22;23972;101
259;2016-10-14;46716;101
260;2016-02-02;73392;101
261;2022-07-22;60558;101
262;2015-03-28;96269;101
263;2012-10-15;26879;102
264;2021-05-26;21784;102
265;2021-06-25;99749;102
266;2019-07-15;81206;102
267;2013-03-19;68019;102
268;2012-01-17;76612;103
269;2010-04-29;94797;104
270;2017-02-20;13115;104
271;2010-09-27;57636;104
272;2017-01-27;22555;104
273;2011-02-22;89372;104
274;2016-07-10;82573;104
275;2011-06-28;45707;105
276;2010-11-23;55352;105
277;2012-12-12;15213;105
278;2018-09-22;55613;105
279;2022-12-24;87597;106
280;2010-06-03;44383;106
281;2019-03-23;34767;107
282;2022-10-25;58833;108
283;2020-03-16;63788;108
284;2014-05-04;57035;108
285;2015-11-09;57088;108
286;2013-08-14;97515;109
287;2021-11-28;67130;109
288;2014-06-23;11783;109
289;2015-05-15;27401;109
290;2023-03-11;43801;109
291;2018-03-04;66016;109
292;2015-11-14;86928;110
293;2020-03-21;24650;111
294;2014-04-13;37452;111
295;2014-04-16;56213;111
296;2012-01-23;29938;112
297;2018-07-29;26293;112
298;2020-04-03;74749;113
299;2014-03-06;22373;113
300;2021-09-15;30326;113
301;2011-10-19;19758;114
302;2015-11-03;61929;114
303;2015-12-29;81232;114
304;2018-02-03;75022;114
305;2021-05-04;64615;115
306;2023-01-20;62243;115
307;2012-06-24;96174;115
308;2011-02-28;35341;115
309;2022-01-15;98177;115
310;2017-10-08;48471;116
311;2017-07-28;18408;117
312;2013-05-05;78436;117
313;2016-05-19;29111;117
314;2013-12-23;10311;117
315;2013-11-08;38813;118
316;2020-09-05;95368;118
317;2019-11-15;81203;119
318;2023-03-08;15647;119
319;2022-01-04;58096;119
320;2017-12-14;91813;119
321;2014-07-05;54633;119
322;2011-01-30;46559;119
323;2020-09-06;63302;120
324;2010-02-19;18070;120
